id,article_m,article_f,article_n,correct_form,noun_no_article,remark
91,der,die,das,das Mal,Mal,
92,der,die,das,das Buch,Buch,
93,der,die,das,das Handy,Handy,
94,der,die,das,das Telefon,Telefon,
95,der,die,das,das Haar,Haar,
96,der,die,das,das Paar,Paar,
97,der,die,das,das Laub,Laub,
98,der,die,das,das Ohr,Ohr,
99,der,die,das,das Ding,Ding,
100,der,die,das,das Wohl,Wohl,
101,der,die,das,das Pech,Pech,
102,der,die,das,das Hemd,Hemd,
103,der,die,das,das Kreuz,Kreuz,
104,der,die,das,das Protokoll,Protokoll,
105,der,die,das,das Geräusch,Geräusch,
106,der,die,das,das Gespräch,Gespräch,
107,der,die,das,das Glas,Glas,
108,der,die,das,das Gepäck,Gepäck,
109,der,die,das,das Detail,Detail,
110,der,die,das,das Glück,Glück,
111,der,die,das,das Fleisch,Fleisch,
112,der,die,das,das Indiz,Indiz,
113,der,die,das,das Bad,Bad,
114,der,die,das,das Kleid,Kleid,
115,der,die,das,das Lied,Lied,
116,der,die,das,das Gewühl,Gewühl,
117,der,die,das,das Hotel,Hotel,
118,der,die,das,das Herz,Herz,
119,der,die,das,das Netz,Netz,
120,der,die,das,das Seil,Seil,
121,der,die,das,das Salz,Salz,
122,der,die,das,das Ei,Ei,
123,der,die,das,das Formular ,Formular ,
124,der,die,das,das Lager ,Lager ,
125,der,die,das,das Vokabular ,Vokabular ,
126,der,die,das,das Sofa,Sofa,
127,der,die,das,das Programm,Programm,
128,der,die,das,das Chaos ,Chaos ,
129,der,die,das,das Gebirge,Gebirge,Word ends in E and NEUTER
130,der,die,das,das Café,Café,Word ends in E and NEUTER
131,der,die,das,das Portmonee,Portmonee,Word ends in E and NEUTER
132,der,die,das,das Puzzle,Puzzle,Word ends in E and NEUTER
133,der,die,das,das Ende,Ende,Word ends in E and NEUTER
134,der,die,das,das Böse,Böse,Word ends in E and NEUTER
135,der,die,das,das Auge,Auge,Word ends in E and NEUTER
136,der,die,das,das Äußere,Äußere,Word ends in E and NEUTER
137,der,die,das,das Brot,Brot,Word ends in T and NEUTER
138,der,die,das,das Rezept,Rezept,Word ends in T and NEUTER
139,der,die,das,das Internet,Internet,Word ends in T and NEUTER
140,der,die,das,das Produkt,Produkt,Word ends in T and NEUTER
141,der,die,das,das Licht,Licht,Word ends in T and NEUTER
142,der,die,das,das Obst,Obst,Word ends in T and NEUTER
143,der,die,das,das Ticket,Ticket,Word ends in T and NEUTER
144,der,die,das,das Nest,Nest,Word ends in T and NEUTER
145,der,die,das,das Kraut,Kraut,Word ends in T and NEUTER
146,der,die,das,das Bett,Bett,Word ends in T and NEUTER
147,der,die,das,das Gift,Gift,Word ends in T and NEUTER
148,der,die,das,das Wort,Wort,Word ends in T and NEUTER
149,der,die,das,das Gewicht,Gewicht,Word ends in T and NEUTER
150,der,die,das,das Gebot,Gebot,Word ends in T and NEUTER
151,der,die,das,das Gehalt,Gehalt,Word ends in T and NEUTER
152,der,die,das,das Gedicht,Gedicht,Word ends in T and NEUTER
153,der,die,das,das Delikt,Delikt,Word ends in T and NEUTER
154,der,die,das,das Gebiet,Gebiet,Word ends in T and NEUTER
155,der,die,das,das Jahrhundert,Jahrhundert,Word ends in T and NEUTER
156,der,die,das,das Gerücht,Gerücht,Word ends in T and NEUTER
157,der,die,das,das Gespenst,Gespenst,Word ends in T and NEUTER
158,der,die,das,das Geschlecht,Geschlecht,Word ends in T and NEUTER
159,der,die,das,das Gebet,Gebet,Word ends in T and NEUTER
160,der,die,das,das Blut,Blut,Word ends in T and NEUTER
161,der,die,das,das Gesicht,Gesicht,Word ends in T and NEUTER
162,der,die,das,das Gericht,Gericht,Word ends in T and NEUTER
163,der,die,das,das Heft,Heft,Word ends in T and NEUTER
164,der,die,das,das Zelt,Zelt,Word ends in T and NEUTER
165,der,die,das,das Geschäft,Geschäft,Word ends in T and NEUTER
166,der,die,das,das Blatt,Blatt,Word ends in T and NEUTER
167,der,die,das,das Monster,Monster,Word ends in ER and NEUTER
168,der,die,das,das Fieber,Fieber,Word ends in ER and NEUTER
169,der,die,das,das Theater,Theater,Word ends in ER and NEUTER
170,der,die,das,das Wasser,Wasser,Word ends in ER and NEUTER
171,der,die,das,das Meer,Meer,Word ends in ER and NEUTER
172,der,die,das,das Leder,Leder,Word ends in ER and NEUTER
173,der,die,das,das Opfer ,Opfer ,Word ends in ER and NEUTER
174,der,die,das,das Wunder,Wunder,Word ends in ER and NEUTER
175,der,die,das,das Wetter,Wetter,Word ends in ER and NEUTER
176,der,die,das,das Feuer,Feuer,Word ends in ER and NEUTER
177,der,die,das,das Zimmer,Zimmer,Word ends in ER and NEUTER
178,der,die,das,das Papier,Papier,Word ends in ER and NEUTER
179,der,die,das,das Muster,Muster,Word ends in ER and NEUTER
180,der,die,das,das Fenster,Fenster,Word ends in ER and NEUTER
181,der,die,das,das Gewitter,Gewitter,Word ends in ER and NEUTER
182,der,die,das,das Ufer,Ufer,Word ends in ER and NEUTER
183,der,die,das,das Steuer,Steuer,Word ends in ER and NEUTER
184,der,die,das,das Messer,Messer,Word ends in ER and NEUTER
185,der,die,das,das Abenteuer ,Abenteuer ,Word ends in ER and NEUTER
186,der,die,das,das Becken,Becken,Word ends in EN and NEUTER
187,der,die,das,das Eisen,Eisen,Word ends in EN and NEUTER
188,der,die,das,das Zeichen,Zeichen,Word ends in EN and NEUTER
189,der,die,das,das Unternehmen,Unternehmen,Word ends in EN and NEUTER
190,der,die,das,das Gutachten,Gutachten,Word ends in EN and NEUTER
