id,preposition-gender,content,prep,pronoun,adj,noun,pronoun_form,adj_form,edit_field
57,mit-pl,mit ihren guten Kindern,mit,ihren,guten,Kindern,ihr,gut,edit_me
58,mit-pl,mit unseren guten Männern,mit,unseren,guten,Männern,unser,gut,edit_me
59,mit-pl,mit unseren guten Frauen,mit,unseren,guten,Frauen,unser,gut,edit_me
60,mit-pl,mit unseren guten Kindern,mit,unseren,guten,Kindern,unser,gut,edit_me
61,mit-pl,mit euren guten Männern,mit,euren,guten,Männern,euer,gut,edit_me
62,mit-pl,mit euren guten Frauen,mit,euren,guten,Frauen,euer,gut,edit_me
63,mit-pl,mit euren guten Kindern,mit,euren,guten,Kindern,euer,gut,edit_me
64,mit-pl,mit ihren guten Männern,mit,ihren,guten,Männern,ihr,gut,edit_me
65,mit-pl,mit ihren guten Frauen,mit,ihren,guten,Frauen,ihr,gut,edit_me
66,mit-pl,mit ihren guten Kindern,mit,ihren,guten,Kindern,ihr,gut,edit_me
67,mit-pl,mit diesen guten Männern,mit,diesen,guten,Männern,dies,gut,edit_me
68,mit-pl,mit diesen guten Frauen,mit,diesen,guten,Frauen,dies,gut,edit_me
69,mit-pl,mit diesen guten Kindern,mit,diesen,guten,Kindern,dies,gut,edit_me
70,mit-pl,mit denselben guten Männern,mit,denselben,guten,Männern,derselbe,gut,edit_me
71,mit-pl,mit denselben guten Frauen,mit,denselben,guten,Frauen,derselbe,gut,edit_me
72,mit-pl,mit denselben guten Kindern,mit,denselben,guten,Kindern,derselbe,gut,edit_me
73,mit-pl,mit jeden guten Männern,mit,jeden,guten,Männern,jede,gut,edit_me
74,mit-pl,mit jeden guten Frauen,mit,jeden,guten,Frauen,jede,gut,edit_me
75,mit-pl,mit jeden guten Kindern,mit,jeden,guten,Kindern,jede,gut,edit_me
76,,zu dem guten Freund,zu,dem,guten,Freund,der,gut,
77,,zu einem guten Freund,zu,einem,guten,Freund,ein,gut,
78,,zu keinem guten Freund,zu,keinem,guten,Freund,kein,gut,
79,,zu meinem guten Freund ,zu,meinem,guten,Freund,mein,gut,
80,,zu deinem guten Freund ,zu,deinem,guten,Freund,dein,gut,
81,,zu seinem guten Freund ,zu,seinem,guten,Freund,sein,gut,
82,,zu ihrem guten Freund ,zu,ihrem,guten,Freund,ihr,gut,
83,,zu unserem guten Freund ,zu,unserem,guten,Freund,unser,gut,
84,,zu eurem guten Freund ,zu,eurem,guten,Freund,euer,gut,
85,,zu ihrem guten Freund,zu,ihrem,guten,Freund,ihr,gut,
86,,zu diesem guten Freund,zu,diesem,guten,Freund,dies,gut,
87,,zu demselben guten Freund ,zu,demselben,guten,Freund,derselbe,gut,
88,,zu jedem guten Freund,zu,jedem,guten,Freund,jede,gut,
89,,zu der guten Frau,zu,der,guten,Frau,der,gut,
90,,zu einer guten Frau,zu,einer,guten,Frau,ein,gut,
91,,zu keiner guten Frau,zu,keiner,guten,Frau,kein,gut,
92,,zu meiner guten Frau,zu,meiner,guten,Frau,mein,gut,
93,,zu deiner guten Frau,zu,deiner,guten,Frau,dein,gut,
94,,zu seiner guten Frau,zu,seiner,guten,Frau,sein,gut,
95,,zu ihrer guten Frau,zu,ihrer,guten,Frau,ihr,gut,
96,,zu unserer guten Frau,zu,unserer,guten,Frau,unser,gut,
97,,zu eurer guten Frau,zu,eurer,guten,Frau,euer,gut,
98,,zu ihrer guten Frau,zu,ihrer,guten,Frau,ihr,gut,
99,,zu dieser guten Frau,zu,dieser,guten,Frau,dies,gut,
100,,zu derselben guten Frau,zu,derselben,guten,Frau,derselbe,gut,
101,,zu jeder guten Frau,zu,jeder,guten,Frau,jede,gut,
102,,zu dem guten Kind,zu,dem,guten,Kind,der,gut,
103,,zu einem guten Kind,zu,einem,guten,Kind,ein,gut,
104,,zu keinem guten Kind,zu,keinem,guten,Kind,kein,gut,
105,,zu meinem guten Kind ,zu,meinem,guten,Kind,mein,gut,
106,,zu deinem guten Kind ,zu,deinem,guten,Kind,dein,gut,
107,,zu seinem guten Kind ,zu,seinem,guten,Kind,sein,gut,
108,,zu ihrem guten Kind,zu,ihrem,guten,Kind,ihr,gut,
109,,zu unserem guten Kind,zu,unserem,guten,Kind,unser,gut,
110,,zu eurem guten Kind ,zu,eurem,guten,Kind,euer,gut,
111,,zu ihrem guten Kind,zu,ihrem,guten,Kind,ihr,gut,
112,,zu diesem guten Kind,zu,diesem,guten,Kind,dies,gut,
113,,zu demselben guten Kind ,zu,demselben,guten,Kind,derselbe,gut,
114,,zu jedem guten Kind,zu,jedem,guten,Kind,jede,gut,
115,,zu den guten Männern,zu,den,guten,Männern,der,gut,
116,,zu den guten Frauen,zu,den,guten,Frauen,der,gut,
117,,zu den guten Kindern,zu,den,guten,Kindern,der,gut,
118,,zu keinen guten Männern,zu,keinen,guten,Männern,kein,gut,
119,,zu keinen guten Frauen,zu,keinen,guten,Frauen,kein,gut,
120,,zu keinen guten Kindern,zu,keinen,guten,Kindern,kein,gut,
121,,zu meinen guten Männern,zu,meinen,guten,Männern,mein,gut,
122,,zu meinen guten Frauen,zu,meinen,guten,Frauen,mein,gut,
123,,zu meinen guten Kindern,zu,meinen,guten,Kindern,mein,gut,
124,,zu deinen guten Männern,zu,deinen,guten,Männern,dein,gut,
125,,zu deinen guten Frauen,zu,deinen,guten,Frauen,dein,gut,
126,,zu deinen guten Kindern,zu,deinen,guten,Kindern,dein,gut,
127,,zu seinen guten Männern,zu,seinen,guten,Männern,sein,gut,
128,,zu seinen guten Frauen,zu,seinen,guten,Frauen,sein,gut,
129,,zu seinen guten Kindern,zu,seinen,guten,Kindern,sein,gut,
130,,zu ihren guten Männern,zu,ihren,guten,Männern,ihr,gut,
131,,zu ihren guten Frauen,zu,ihren,guten,Frauen,ihr,gut,
132,,zu ihren guten Kindern,zu,ihren,guten,Kindern,ihr,gut,
133,,zu unseren guten Männern,zu,unseren,guten,Männern,unser,gut,
134,,zu unseren guten Frauen,zu,unseren,guten,Frauen,unser,gut,
135,,zu unseren guten Kindern,zu,unseren,guten,Kindern,unser,gut,
136,,zu euren guten Männern,zu,euren,guten,Männern,euer,gut,
137,,zu euren guten Frauen,zu,euren,guten,Frauen,euer,gut,
138,,zu euren guten Kindern,zu,euren,guten,Kindern,euer,gut,
139,,zu ihren guten Männern,zu,ihren,guten,Männern,ihr,gut,
140,,zu ihren guten Frauen,zu,ihren,guten,Frauen,ihr,gut,
141,,zu ihren guten Kindern,zu,ihren,guten,Kindern,ihr,gut,
142,,zu diesen guten Männern,zu,diesen,guten,Männern,dies,gut,
143,,zu diesen guten Frauen,zu,diesen,guten,Frauen,dies,gut,
144,,zu diesen guten Kindern,zu,diesen,guten,Kindern,dies,gut,
145,,zu denselben guten Männern,zu,denselben,guten,Männern,derselbe,gut,
146,,zu denselben guten Frauen,zu,denselben,guten,Frauen,derselbe,gut,
147,,zu denselben guten Kindern,zu,denselben,guten,Kindern,derselbe,gut,
148,,zu jeden guten Männern,zu,jeden,guten,Männern,jede,gut,
149,,zu jeden guten Frauen,zu,jeden,guten,Frauen,jede,gut,
150,,zu jeden guten Kindern,zu,jeden,guten,Kindern,jede,gut,
151,,,aus,dem,guten,Freund,der,gut,
152,,,aus,einem,guten,Freund,ein,gut,
153,,,aus,keinem,guten,Freund,kein,gut,
154,,,aus,meinem,guten,Freund,mein,gut,
155,,,aus,deinem,guten,Freund,dein,gut,
156,,,aus,seinem,guten,Freund,sein,gut,
157,,,aus,ihrem,guten,Freund,ihr,gut,
158,,,aus,unserem,guten,Freund,unser,gut,
159,,,aus,eurem,guten,Freund,euer,gut,
160,,,aus,ihrem,guten,Freund,ihr,gut,
161,,,aus,diesem,guten,Freund,dies,gut,
162,,,aus,demselben,guten,Freund,derselbe,gut,
163,,,aus,jedem,guten,Freund,jede,gut,
164,,,aus,der,guten,Frau,der,gut,
165,,,aus,einer,guten,Frau,ein,gut,
166,,,aus,keiner,guten,Frau,kein,gut,
167,,,aus,meiner,guten,Frau,mein,gut,
168,,,aus,deiner,guten,Frau,dein,gut,
169,,,aus,seiner,guten,Frau,sein,gut,
170,,,aus,ihrer,guten,Frau,ihr,gut,
171,,,aus,unserer,guten,Frau,unser,gut,
172,,,aus,eurer,guten,Frau,euer,gut,
173,,,aus,ihrer,guten,Frau,ihr,gut,
174,,,aus,dieser,guten,Frau,dies,gut,
175,,,aus,derselben,guten,Frau,derselbe,gut,
176,,,aus,jeder,guten,Frau,jede,gut,
177,,,aus,dem,guten,Kind,der,gut,
178,,,aus,einem,guten,Kind,ein,gut,
179,,,aus,keinem,guten,Kind,kein,gut,
180,,,aus,meinem,guten,Kind,mein,gut,
181,,,aus,deinem,guten,Kind,dein,gut,
182,,,aus,seinem,guten,Kind,sein,gut,
183,,,aus,ihrem,guten,Kind,ihr,gut,
184,,,aus,unserem,guten,Kind,unser,gut,
185,,,aus,eurem,guten,Kind,euer,gut,
186,,,aus,ihrem,guten,Kind,ihr,gut,
187,,,aus,diesem,guten,Kind,dies,gut,
188,,,aus,demselben,guten,Kind,derselbe,gut,
189,,,aus,jedem,guten,Kind,jede,gut,
190,,,aus,den,guten,Männern,der,gut,
191,,,aus,den,guten,Frauen,der,gut,
192,,,aus,den,guten,Kindern,der,gut,
193,,,aus,keinen,guten,Männern,kein,gut,
194,,,aus,keinen,guten,Frauen,kein,gut,
195,,,aus,keinen,guten,Kindern,kein,gut,
196,,,aus,meinen,guten,Männern,mein,gut,
197,,,aus,meinen,guten,Frauen,mein,gut,
198,,,aus,meinen,guten,Kindern,mein,gut,
199,,,aus,deinen,guten,Männern,dein,gut,
200,,,aus,deinen,guten,Frauen,dein,gut,
201,,,aus,deinen,guten,Kindern,dein,gut,
202,,,aus,seinen,guten,Männern,sein,gut,
203,,,aus,seinen,guten,Frauen,sein,gut,
204,,,aus,seinen,guten,Kindern,sein,gut,
205,,,aus,ihren,guten,Männern,ihr,gut,
206,,,aus,ihren,guten,Frauen,ihr,gut,
207,,,aus,ihren,guten,Kindern,ihr,gut,
208,,,aus,unseren,guten,Männern,unser,gut,
209,,,aus,unseren,guten,Frauen,unser,gut,
210,,,aus,unseren,guten,Kindern,unser,gut,
211,,,aus,euren,guten,Männern,euer,gut,
212,,,aus,euren,guten,Frauen,euer,gut,
213,,,aus,euren,guten,Kindern,euer,gut,
214,,,aus,ihren,guten,Männern,ihr,gut,
215,,,aus,ihren,guten,Frauen,ihr,gut,
216,,,aus,ihren,guten,Kindern,ihr,gut,
217,,,aus,diesen,guten,Männern,dies,gut,
218,,,aus,diesen,guten,Frauen,dies,gut,
219,,,aus,diesen,guten,Kindern,dies,gut,
220,,,aus,denselben,guten,Männern,derselbe,gut,
221,,,aus,denselben,guten,Frauen,derselbe,gut,
222,,,aus,denselben,guten,Kindern,derselbe,gut,
223,,,aus,jeden,guten,Männern,jede,gut,
224,,,aus,jeden,guten,Frauen,jede,gut,
225,,,aus,jeden,guten,Kindern,jede,gut,
226,,,nach ,dem,guten,Freund,der,gut,
227,,,nach ,einem,guten,Freund,ein,gut,
228,,,nach ,keinem,guten,Freund,kein,gut,
229,,,nach ,meinem,guten,Freund,mein,gut,
230,,,nach ,deinem,guten,Freund,dein,gut,
231,,,nach ,seinem,guten,Freund,sein,gut,
232,,,nach ,ihrem,guten,Freund,ihr,gut,
233,,,nach ,unserem,guten,Freund,unser,gut,
234,,,nach ,eurem,guten,Freund,euer,gut,
235,,,nach ,ihrem,guten,Freund,ihr,gut,
236,,,nach ,diesem,guten,Freund,dies,gut,
237,,,nach ,demselben,guten,Freund,derselbe,gut,
238,,,nach ,jedem,guten,Freund,jede,gut,
239,,,nach ,der,guten,Frau,der,gut,
240,,,nach ,einer,guten,Frau,ein,gut,
241,,,nach ,keiner,guten,Frau,kein,gut,
242,,,nach ,meiner,guten,Frau,mein,gut,
243,,,nach ,deiner,guten,Frau,dein,gut,
244,,,nach ,seiner,guten,Frau,sein,gut,
245,,,nach ,ihrer,guten,Frau,ihr,gut,
246,,,nach ,unserer,guten,Frau,unser,gut,
247,,,nach ,eurer,guten,Frau,euer,gut,
248,,,nach ,ihrer,guten,Frau,ihr,gut,
249,,,nach ,dieser,guten,Frau,dies,gut,
250,,,nach ,derselben,guten,Frau,derselbe,gut,
251,,,nach ,jeder,guten,Frau,jede,gut,
252,,,nach ,dem,guten,Kind,der,gut,
253,,,nach ,einem,guten,Kind,ein,gut,
254,,,nach ,keinem,guten,Kind,kein,gut,
255,,,nach ,meinem,guten,Kind,mein,gut,
256,,,nach ,deinem,guten,Kind,dein,gut,
257,,,nach ,seinem,guten,Kind,sein,gut,
258,,,nach ,ihrem,guten,Kind,ihr,gut,
259,,,nach ,unserem,guten,Kind,unser,gut,
260,,,nach ,eurem,guten,Kind,euer,gut,
261,,,nach ,ihrem,guten,Kind,ihr,gut,
262,,,nach ,diesem,guten,Kind,dies,gut,
263,,,nach ,demselben,guten,Kind,derselbe,gut,
264,,,nach ,jedem,guten,Kind,jede,gut,
265,,,nach ,den,guten,Männern,der,gut,
266,,,nach ,den,guten,Frauen,der,gut,
267,,,nach ,den,guten,Kindern,der,gut,
268,,,nach ,keinen,guten,Männern,kein,gut,
269,,,nach ,keinen,guten,Frauen,kein,gut,
270,,,nach ,keinen,guten,Kindern,kein,gut,
271,,,nach ,meinen,guten,Männern,mein,gut,
272,,,nach ,meinen,guten,Frauen,mein,gut,
273,,,nach ,meinen,guten,Kindern,mein,gut,
274,,,nach ,deinen,guten,Männern,dein,gut,
275,,,nach ,deinen,guten,Frauen,dein,gut,
276,,,nach ,deinen,guten,Kindern,dein,gut,
277,,,nach ,seinen,guten,Männern,sein,gut,
278,,,nach ,seinen,guten,Frauen,sein,gut,
279,,,nach ,seinen,guten,Kindern,sein,gut,
280,,,nach ,ihren,guten,Männern,ihr,gut,
281,,,nach ,ihren,guten,Frauen,ihr,gut,
282,,,nach ,ihren,guten,Kindern,ihr,gut,
283,,,nach ,unseren,guten,Männern,unser,gut,
284,,,nach ,unseren,guten,Frauen,unser,gut,
285,,,nach ,unseren,guten,Kindern,unser,gut,
286,,,nach ,euren,guten,Männern,euer,gut,
287,,,nach ,euren,guten,Frauen,euer,gut,
288,,,nach ,euren,guten,Kindern,euer,gut,
289,,,nach ,ihren,guten,Männern,ihr,gut,
290,,,nach ,ihren,guten,Frauen,ihr,gut,
291,,,nach ,ihren,guten,Kindern,ihr,gut,
292,,,nach ,diesen,guten,Männern,dies,gut,
293,,,nach ,diesen,guten,Frauen,dies,gut,
294,,,nach ,diesen,guten,Kindern,dies,gut,
295,,,nach ,denselben,guten,Männern,derselbe,gut,
296,,,nach ,denselben,guten,Frauen,derselbe,gut,
297,,,nach ,denselben,guten,Kindern,derselbe,gut,
298,,,nach ,jeden,guten,Männern,jede,gut,
299,,,nach ,jeden,guten,Frauen,jede,gut,
300,,,nach ,jeden,guten,Kindern,jede,gut,
301,,,gegenüber ,dem,guten,Freund,der,gut,
302,,,gegenüber ,einem,guten,Freund,ein,gut,
303,,,gegenüber ,keinem,guten,Freund,kein,gut,
304,,,gegenüber ,meinem,guten,Freund,mein,gut,
305,,,gegenüber ,deinem,guten,Freund,dein,gut,
306,,,gegenüber ,seinem,guten,Freund,sein,gut,
307,,,gegenüber ,ihrem,guten,Freund,ihr,gut,
308,,,gegenüber ,unserem,guten,Freund,unser,gut,
309,,,gegenüber ,eurem,guten,Freund,euer,gut,
310,,,gegenüber ,ihrem,guten,Freund,ihr,gut,
311,,,gegenüber ,diesem,guten,Freund,dies,gut,
312,,,gegenüber ,demselben,guten,Freund,derselbe,gut,
313,,,gegenüber ,jedem,guten,Freund,jede,gut,
314,,,gegenüber ,der,guten,Frau,der,gut,
315,,,gegenüber ,einer,guten,Frau,ein,gut,
316,,,gegenüber ,keiner,guten,Frau,kein,gut,
317,,,gegenüber ,meiner,guten,Frau,mein,gut,
318,,,gegenüber ,deiner,guten,Frau,dein,gut,
319,,,gegenüber ,seiner,guten,Frau,sein,gut,
320,,,gegenüber ,ihrer,guten,Frau,ihr,gut,
321,,,gegenüber ,unserer,guten,Frau,unser,gut,
322,,,gegenüber ,eurer,guten,Frau,euer,gut,
323,,,gegenüber ,ihrer,guten,Frau,ihr,gut,
324,,,gegenüber ,dieser,guten,Frau,dies,gut,
325,,,gegenüber ,derselben,guten,Frau,derselbe,gut,
326,,,gegenüber ,jeder,guten,Frau,jede,gut,
327,,,gegenüber ,dem,guten,Kind,der,gut,
328,,,gegenüber ,einem,guten,Kind,ein,gut,
329,,,gegenüber ,keinem,guten,Kind,kein,gut,
330,,,gegenüber ,meinem,guten,Kind,mein,gut,
331,,,gegenüber ,deinem,guten,Kind,dein,gut,
332,,,gegenüber ,seinem,guten,Kind,sein,gut,
333,,,gegenüber ,ihrem,guten,Kind,ihr,gut,
334,,,gegenüber ,unserem,guten,Kind,unser,gut,
335,,,gegenüber ,eurem,guten,Kind,euer,gut,
336,,,gegenüber ,ihrem,guten,Kind,ihr,gut,
337,,,gegenüber ,diesem,guten,Kind,dies,gut,
338,,,gegenüber ,demselben,guten,Kind,derselbe,gut,
339,,,gegenüber ,jedem,guten,Kind,jede,gut,
340,,,gegenüber ,den,guten,Männern,der,gut,
341,,,gegenüber ,den,guten,Frauen,der,gut,
342,,,gegenüber ,den,guten,Kindern,der,gut,
343,,,gegenüber ,keinen,guten,Männern,kein,gut,
344,,,gegenüber ,keinen,guten,Frauen,kein,gut,
345,,,gegenüber ,keinen,guten,Kindern,kein,gut,
346,,,gegenüber ,meinen,guten,Männern,mein,gut,
347,,,gegenüber ,meinen,guten,Frauen,mein,gut,
348,,,gegenüber ,meinen,guten,Kindern,mein,gut,
349,,,gegenüber ,deinen,guten,Männern,dein,gut,
350,,,gegenüber ,deinen,guten,Frauen,dein,gut,
351,,,gegenüber ,deinen,guten,Kindern,dein,gut,
352,,,gegenüber ,seinen,guten,Männern,sein,gut,
353,,,gegenüber ,seinen,guten,Frauen,sein,gut,
354,,,gegenüber ,seinen,guten,Kindern,sein,gut,
355,,,gegenüber ,ihren,guten,Männern,ihr,gut,
356,,,gegenüber ,ihren,guten,Frauen,ihr,gut,
357,,,gegenüber ,ihren,guten,Kindern,ihr,gut,
358,,,gegenüber ,unseren,guten,Männern,unser,gut,
359,,,gegenüber ,unseren,guten,Frauen,unser,gut,
360,,,gegenüber ,unseren,guten,Kindern,unser,gut,
361,,,gegenüber ,euren,guten,Männern,euer,gut,
362,,,gegenüber ,euren,guten,Frauen,euer,gut,
363,,,gegenüber ,euren,guten,Kindern,euer,gut,
364,,,gegenüber ,ihren,guten,Männern,ihr,gut,
365,,,gegenüber ,ihren,guten,Frauen,ihr,gut,
366,,,gegenüber ,ihren,guten,Kindern,ihr,gut,
367,,,gegenüber ,diesen,guten,Männern,dies,gut,
368,,,gegenüber ,diesen,guten,Frauen,dies,gut,
369,,,gegenüber ,diesen,guten,Kindern,dies,gut,
370,,,gegenüber ,denselben,guten,Männern,derselbe,gut,
371,,,gegenüber ,denselben,guten,Frauen,derselbe,gut,
372,,,gegenüber ,denselben,guten,Kindern,derselbe,gut,
373,,,gegenüber ,jeden,guten,Männern,jede,gut,
374,,,gegenüber ,jeden,guten,Frauen,jede,gut,
375,,,gegenüber ,jeden,guten,Kindern,jede,gut,
376,,,bei,dem,guten,Freund,der,gut,
377,,,bei,einem,guten,Freund,ein,gut,
378,,,bei,keinem,guten,Freund,kein,gut,
379,,,bei,meinem,guten,Freund,mein,gut,
380,,,bei,deinem,guten,Freund,dein,gut,
381,,,bei,seinem,guten,Freund,sein,gut,
382,,,bei,ihrem,guten,Freund,ihr,gut,
383,,,bei,unserem,guten,Freund,unser,gut,
384,,,bei,eurem,guten,Freund,euer,gut,
385,,,bei,ihrem,guten,Freund,ihr,gut,
386,,,bei,diesem,guten,Freund,dies,gut,
387,,,bei,demselben,guten,Freund,derselbe,gut,
388,,,bei,jedem,guten,Freund,jede,gut,
389,,,bei,der,guten,Frau,der,gut,
390,,,bei,einer,guten,Frau,ein,gut,
391,,,bei,keiner,guten,Frau,kein,gut,
392,,,bei,meiner,guten,Frau,mein,gut,
393,,,bei,deiner,guten,Frau,dein,gut,
394,,,bei,seiner,guten,Frau,sein,gut,
395,,,bei,ihrer,guten,Frau,ihr,gut,
396,,,bei,unserer,guten,Frau,unser,gut,
397,,,bei,eurer,guten,Frau,euer,gut,
398,,,bei,ihrer,guten,Frau,ihr,gut,
399,,,bei,dieser,guten,Frau,dies,gut,
400,,,bei,derselben,guten,Frau,derselbe,gut,
401,,,bei,jeder,guten,Frau,jede,gut,
402,,,bei,dem,guten,Kind,der,gut,
403,,,bei,einem,guten,Kind,ein,gut,
404,,,bei,keinem,guten,Kind,kein,gut,
405,,,bei,meinem,guten,Kind,mein,gut,
406,,,bei,deinem,guten,Kind,dein,gut,
407,,,bei,seinem,guten,Kind,sein,gut,
408,,,bei,ihrem,guten,Kind,ihr,gut,
409,,,bei,unserem,guten,Kind,unser,gut,
410,,,bei,eurem,guten,Kind,euer,gut,
411,,,bei,ihrem,guten,Kind,ihr,gut,
412,,,bei,diesem,guten,Kind,dies,gut,
413,,,bei,demselben,guten,Kind,derselbe,gut,
414,,,bei,jedem,guten,Kind,jede,gut,
415,,,bei,den,guten,Männern,der,gut,
416,,,bei,den,guten,Frauen,der,gut,
417,,,bei,den,guten,Kindern,der,gut,
418,,,bei,keinen,guten,Männern,kein,gut,
419,,,bei,keinen,guten,Frauen,kein,gut,
420,,,bei,keinen,guten,Kindern,kein,gut,
421,,,bei,meinen,guten,Männern,mein,gut,
422,,,bei,meinen,guten,Frauen,mein,gut,
423,,,bei,meinen,guten,Kindern,mein,gut,
424,,,bei,deinen,guten,Männern,dein,gut,
425,,,bei,deinen,guten,Frauen,dein,gut,
426,,,bei,deinen,guten,Kindern,dein,gut,
427,,,bei,seinen,guten,Männern,sein,gut,
428,,,bei,seinen,guten,Frauen,sein,gut,
429,,,bei,seinen,guten,Kindern,sein,gut,
430,,,bei,ihren,guten,Männern,ihr,gut,
431,,,bei,ihren,guten,Frauen,ihr,gut,
432,,,bei,ihren,guten,Kindern,ihr,gut,
433,,,bei,unseren,guten,Männern,unser,gut,
434,,,bei,unseren,guten,Frauen,unser,gut,
435,,,bei,unseren,guten,Kindern,unser,gut,
436,,,bei,euren,guten,Männern,euer,gut,
437,,,bei,euren,guten,Frauen,euer,gut,
438,,,bei,euren,guten,Kindern,euer,gut,
439,,,bei,ihren,guten,Männern,ihr,gut,
440,,,bei,ihren,guten,Frauen,ihr,gut,
441,,,bei,ihren,guten,Kindern,ihr,gut,
442,,,bei,diesen,guten,Männern,dies,gut,
443,,,bei,diesen,guten,Frauen,dies,gut,
444,,,bei,diesen,guten,Kindern,dies,gut,
445,,,bei,denselben,guten,Männern,derselbe,gut,
446,,,bei,denselben,guten,Frauen,derselbe,gut,
